url_id,article_title,article_text
126,How prepared is India to tackle a possible COVID-19 outbreak?,"Frankly, no! The state of the public healthcare system, still vast, is very fragmented and cannot scale up rapidly enough to face the challenge of a pandemic such as COVID-19. The origin of public healthcare lies in the British colonial period where such facilities were provided only to British officers and their families stationed in India. From the 1960s onwards, the independent government of India stressed more upon healthcare and it led to the creation of the modern public healthcare system in India. The healthcare system is organized into primary, secondary, and tertiary levels. At the primary level are Sub Centre’s and Primary Health Centre’s (PHCs). At the secondary level there are Community Health Centre’s (CHCs) and smaller Sub-District hospitals. Finally, the top level of public care provided by the government is the tertiary level, which consists of Medical Colleges and District/General Hospitals. The number of PHCs, CHCs, Sub Centre’s, and District Hospitals has increased in the past six years, although not all of them are up to the standards set by Indian Public Health Standards. But there are still critical challenges to the existing system."
128,Controversy as a Marketing Strategy,"Organizations burn a lot of resources to build one iconic image. Their brand is not just a picture, a logo, and colors; but an emotional connection with the consumer. It develops by making an impression on the consumers each time they interact with the products or services and it becomes ingrained in the consumers’ minds. Now, if it takes great efforts to build such impression, recognition, and trust, why would a firm do something controversial that could burn their own hands?"
127,How will COVID-19 affect the world of work?,"Every prophet of doom, unless he also happens to be a psychopath, hopes that his predictions will not be borne out. This is also true for the epidemiologists and virologists who have been warning the world since January that the novel SARS-CoV-2 virus poses a severe threat to public health around the world. The name Coronavirus itself, is vicious enough to terrify those who otherwise are fearless in the face of any ball game. Tracing back the origins of the now pandemic, we find that the coronavirus emerged in Wuhan, a city of 11 million people in China’s Hubei province, in late 2019. Cases of the disease grew by several thousand per day in China in late January and early February, the peak of the epidemic there. The number of infections appearing each day has since plummeted in China, making the outbreak a global pandemic that has engulfed over 214 countries around the globe."
116,How will COVID-19 affect the world of work?,"COVID19 affects the world from every way life emotional to social, philosophy to physical. Economical to the thread of life…it is known as present as part of life. which tell as on a daily base to the world just stop your self where you are present..if you move you will lose to yourself and to others, it’s like a story which tells which we listen in our childhood one dirty fish harm the all see."
133,Continued Demand for Sustainability,The 
115,COVID-19: How have countries been responding?,"“If anything kills over 10 million people over the next few decades, it’s most likely to be a highly infectious virus rather than a war” – Bill Gates"
130,Coronavirus impact on energy markets,"As the coronavirus spreads around the world and countries implement containment measures, energy supply and demand is being disrupted. The impact that country-wide lockdowns and demand slowdowns will have on energy markets will be evolving every day."
132,Marketing Drives Results With A Focus On Problems,"When
the British ruled India, many Indians
accepted to work under their policy, and they did not try to rebel against the British for
their presence in Indian lands; They recognized the benefits of British rule. What
was the factor that made Indians accept the
British government? The perception about
British-policies (about trading, pay-scale, and positioning in the military) had been
done through various marketing channels in such a way that it brainwashed people of the nation, and many were ready to accept the British. So the Marketing is like fire when smartly
handled; it can destroy your enemies, but when not it can burn you.  "
135,Should people wear fabric gloves? Seeking evidence regarding the differential transfer of COVID-19 (or coronaviruses generally) between surfaces?,"Is there any evidence about whether fabric or bare hands would spread covid-19 more from one surface to another? (e.g. opening a door using a fabric glove). Assuming the fabric doesn’t touch your face, like bare hands easily do, even with efforts to remember not to people struggle to remember. I’ve been thinking of prompts to prevent face touching, such as wearing fabric gloves when out and about, but I don’t want to promote this unless the fabric is at-least-no-worse than hands for transferring the virus between surfaces."
118,Lessons from the past: Some key learnings relevant to the coronavirus crisis,"The current topic that is burning the world alive is the deadly coronavirus. Let us first understand what this coronavirus actually is. According to the World Health Organization (WHO), the Coronavirus disease which is called the COVID-19 is an infectious disease which is caused by the newly discovered Coronavirus. The COVID-19 virus is a virus that affects different people of the world in different ways. The COVID-19 disease is a respiratory disease and most of the infected people will develop mild to moderate symptoms and recover without even requiring special treatment.  The people who already have underlying medical conditions and those people who are over 60 years old have a higher risk of developing severe disease and death."
134,Coronavirus Disease (COVID-19) Effect: The Impact and Role of Mass Media During the Pandemic,"The outbreak of coronavirus disease 2019 (COVID-19) has created a global health crisis that has had a deep impact on the way we perceive our world and our everyday lives. Not only the rate of contagion and patterns of transmission threatens our sense of agency, but the safety measures put in place to contain the spread of the virus also require social distancing by refraining from doing what is inherently human, which is to find solace in the company of others. Within this context of physical threat, social and physical distancing, as well as public alarm, what has been (and can be) the role of the different mass media channels in our lives on individual, social and societal levels?"
138,"Coronavirus, the unexpected challenge for the European union","Since the creation of the EU, we have been through many challenges worst than public health issues."
139,INDUSTRIAL REVOLUTION 4.0 – PROS AND CONS,"Before jumping to the pros and cons of industrial revolution 4.0, it is important to understand industrial revolution 4.0. Industrial Revolution 4.0: Industrial revolution 4.0 is the term that is used to describe the transition from an electronic-based industry to the one that is dominated by the fusion of new and emerging fields and ideas like Artificial Intelligence, robotics, and green energy, etc."
137,What do you think is the lesson (or lessons) to be learned with Covid 19?,", the John Hopkins Center for Health Security ran a simulation called “Parainfluenza Clade X” to determine what the potential would be of a virus pandemic, and they concluded: “…"
136,Why is there a severe immunological and inflammatory explosion in those affected by sarms covid-19?,"Why is there a severe immunological and inflammatory explosion in those affected by arms covid-19? are these only genetic causes related to the immune response of il6 and macrophages, or would other types of scenarios be related to some environmental element? "
142,Impact of Indian Economy due to COVID-19,"The Novel Coronavirus (COVID-19),
Initially emerged in China at the end of  2019 and by the end of January
2020, The World Health Organization declared this pandemic as a Public Health
Emergency of International Concern. This virus
causes respiratory illness (like the flu) with symptoms such as a cough, fever,
and in more severe cases, difficulty in breathing or may cause lung disease.
Senior Citizens or people under some medical treatment are more likely to
acclimate to this virus."
131,What are the key policies that will mitigate the impacts of COVID-19 on the world of work?,"From Alibaba to Ping An and Google to Ford, companies around the globe are telling staff to figure from directly from home in a bid to stem the spread of COVID-19. Such remote functioning at scale is unprecedented and can leave a long-lasting impression on the way people live and work for several years to return. China, which felt the primary impact of the pandemic, was an early mover during this space. As home to a number of the world’s largest firms, it offers lessons for people who are just commencing to embrace the shift. Working from home skyrocketed in China within the wake of the COVID-19 crisis as companies "
140,COVID-19 Vs Indian Economy,"India is on the verge of an unprecedented economic as well as humanitarian disaster from COVID-19. India is facing economic pressure due to the coronavirus outbreak. This outbreak has resulted in a steep slowdown in the Indian economy, whereby India’s GDP has reduced by 4.5% as seen by current statistics. With COVID-19 being into the picture the Indian economy is going through a severe slowdown and on top of that multiple such problems hitting the world of work from many such directions. Companies and industries are finding it difficult to sustain in such an environment of the financial crisis. Industries are being urged to take up certain tough decisions like layoff, retrenchment, compulsive leave without pay and many alternative cost-effective methods to sustain the present economic crisis like cutting down the salaries, handing over the pink slip to employees and opting best possible. The sudden outbreak has presented new roadblocks for the Indian workforce and especially for the daily wage and contractual workers."
145,Blockchain in Fintech,"Blockchain or the Distributed Ledger Technology has
already been around for some time now. Cryptocurrencies like Bitcoin, based on
the Blockchain technology, are making entry into the formal finance world and
increasingly becoming a medium for exchange. Though there are many potential
use cases for Cryptocurrencies and the Indian Government is very critical about
implementing the technology in banking and finance, it still has a lot of
issues to be resolved before we can commercially use it for transactions. "
147,The future of Investing,"An investment is a resource or thing procured with the objective of producing pay or appreciation. Economically, investment is to buy products that are not expended nowadays but are utilized within the future to make riches. Financially, an investment can be a money related resource acquired with the idea that the resource will give wage within the future or will afterward be sold at the next cost for a benefit. "
143,Impact of newly discovered coronavirus on the Global Economy,"What is Coronavirus? Is it a disease? How it
is spread to humans? How Coronavirus affects the world economy? Several
questions come in mind when we talk about the Coronavirus."
129,Coronavirus: Impact on the Hospitality Industry,"Before jumping on the topic I would like to give an overview of what is Coronavirus, Covid-19, how it spreads, and its symptoms."
146,Blockchain for Payments,"between having a tight budget and being seriously stretched thin for money. Dangerously enough during the second month of my MBA, I was treading on the prospect of the latter. It struck me that I could find my savior in an uncle who lived in San Jose and was the type who always saved for a rainy day. With online payment avowedly ubiquitous and simple, it seemed like a no-brainer to me. One tap on an app and I would be rid of this predicament I had found myself in. Quickly enough, he initiated a fund transfer via Xoom, a PayPal service. I was dismayed to learn it would take all of three days for the money to finally reach me!"
149,Business Analytics In The Healthcare Industry,"Analytics is a statistical scientific process of discovering and presenting the meaningful patterns that can be found in data. While business analytics refers to the skills, technologies, applications, practices, computer programming and operations research for the continuous exploration of data to gain insight that drives business decisions."
141,Impact of COVID-19 (Coronavirus) on the Indian Economy,"The
corona outbreak has hit us hard. With the world economy suddenly coming to a
standstill, the future seems more uncertain. The pandemic has shown its worst
effect in the developed countries most. "
148,Big Data Analytics in Healthcare,"Quality and affordable healthcare is a vision of all governments across the globe. The high cost of Medical service and lack of sufficient infrastructure is detrimental to this vision. In developed countries such as the U.S., reducing healthcare cost is an agenda point of all the politicians.  Even in India, affordable healthcare will be as important as "
150,Challenges and Opportunities of Big Data in Healthcare,"To begin with I shall first like to explain what big data is and why it has become so important in our lives. Big data is simply data, but with a huge size. Data that is not just voluminous but also growing exponentially with time. Such data sets are so large and complex that it is not possible to store or process them using traditional data management tools. So, how huge can this data be? Social media sites like Facebook generate more than 500 terabytes of new data every day in the form of photos, video uploads, text messages, etc. A single Jet engine can generate more than 10 terabytes of data in 30 minutes of flight time. With many thousand flights per day, generation of data reaches up to many petabytes. Data contained in these sets are not always structured. It can be semi-structured or even unstructured. When such is the size and dimension of data we can well imagine how complicated it must be to process and analyze it. Therefore, modern methods of data analysis are being developed and used to process the information contained in big data sets."
